theta_it,FK,FKS,CLU
0.0,0.9377774114337869,0.03930641410256369,0.0125761345871
0.001,0.9378105368328769,0.04027236287190227,0.0125807216886
0.002,0.9380014884130194,0.041244784626896305,0.0124731052818
0.003,0.9381332385011468,0.040363042625769244,0.0124693474631
0.004,0.9381500897817826,0.04083629680039663,0.0123139310609
0.005,0.9385379563444747,0.04177912004200687,0.0121782225552
0.006,0.9385893879115587,0.040129214451568376,0.0120880511432
0.007000000000000001,0.9389074801423204,0.04022079820520091,0.0119457280104
0.008,0.9392863316773397,0.0407463950765623,0.0121065705176
0.009,0.9392149030683581,0.0399110639498793,0.0120629940531
0.01,0.9394765038213629,0.040957680016997906,0.0119517507526
0.011,0.9396811125632265,0.0418688890276357,0.0118736520908
0.012,0.9399892027228011,0.042241009104640084,0.0116022161479
0.013000000000000001,0.9401325044902945,0.0416443905198649,0.0117573155365
0.014000000000000002,0.940405412341375,0.04493666529528251,0.0115553176864
0.015,0.9405390591924105,0.0447753295942851,0.0113148549156
0.016,0.9407751397079321,0.046908027837480326,0.0112698189794
0.017,0.9408039741337738,0.04737385286738674,0.0110404982755
0.018,0.9409253115110982,0.04891713146028352,0.0110326281507
0.019,0.9409976651686068,0.0484755626105014,0.0107370496518
0.02,0.9411270747528037,0.05015068650396666,0.0109966062696
