From,To,Distance,Value,FKS,AAWCE,WS
Residential,Residential,0,1000.0,0.077867645866919,0.00907164998714,0.149310864732
Industry & commerce,Industry & commerce,0,1000.0,0.077867645866919,0.00907164998714,0.149310864732
Forest,Forest,0,500.0,0.077867645866919,0.00907164998714,0.149310864732
Recreation areas,Recreation areas,0,1000.0,0.077867645866919,0.00907164998714,0.149310864732
Agricultural areas,Agricultural areas,0,1000.0,0.077867645866919,0.00907164998714,0.149310864732
Pastures,Pastures,0,500.0,0.077867645866919,0.00907164998714,0.149310864732
Permanent crops,Permanent crops,0,642.1292846948343,0.07829590987279164,0.00856903037698,0.152894622797
Arable land,Arable land,0,291.7960675006309,0.07828807061241244,0.00704361904827,0.16050208129
Residential,Residential,1,7.5,0.07828807061241244,0.00704361904827,0.16050208129
Industry & commerce,Industry & commerce,1,78.0193260011777,0.08074816838350125,0.00796637154122,0.162038563253
Forest,Forest,1,11.145618000168241,0.08346962964312896,0.00855328797205,0.165907634248
Recreation areas,Recreation areas,1,51.47084275039958,0.08561503228449013,0.0089028115615,0.169523522904
Agricultural areas,Agricultural areas,1,7.5,0.08561503228449013,0.0089028115615,0.169523522904
Pastures,Pastures,1,7.5,0.08561503228449013,0.0089028115615,0.169523522904
Permanent crops,Permanent crops,1,6.8883707497266045,0.08569528741544072,0.00866657327547,0.170905352161
Arable land,Arable land,1,6.8883707497266045,0.08654554281586718,0.00802840818057,0.176221816137
Agricultural areas,Residential,0,22.5,0.08654554281586718,0.00802840818057,0.176221816137
Pastures,Residential,0,22.5,0.08654554281586718,0.00802840818057,0.176221816137
Permanent crops,Residential,0,67.87870774913776,0.08626406307286295,0.00787378568301,0.176291229267
Arable land,Residential,0,26.237921249263934,0.08643029688814123,0.00787723683657,0.176689558038
Natural areas,Residential,0,11.25,0.08643029688814123,0.00787723683657,0.176689558038
Residential,Industry & commerce,0,11.25,0.08643029688814123,0.00787723683657,0.176689558038
Agricultural areas,Industry & commerce,0,11.25,0.08643029688814123,0.00787723683657,0.176689558038
Pastures,Industry & commerce,0,19.660112501051515,0.08645141745331704,0.00787937150321,0.176731686117
Permanent crops,Industry & commerce,0,11.25,0.08645141745331704,0.00787937150321,0.176731686117
Arable land,Industry & commerce,0,45.0,0.08645141745331704,0.00787937150321,0.176731686117
Forest,Agricultural areas,0,11.25,0.08645141745331704,0.00787937150321,0.176731686117
Residential,Recreation areas,0,22.5,0.08645141745331704,0.00787937150321,0.176731686117
Agricultural areas,Pastures,0,11.25,0.08645141745331704,0.00787937150321,0.176731686117
Agricultural areas,Arable land,0,11.25,0.08645141745331704,0.00787937150321,0.176731686117
Pastures,Recreation areas,0,22.5,0.08645141745331704,0.00787937150321,0.176731686117
Pastures,Agricultural areas,0,11.25,0.08645141745331704,0.00787937150321,0.176731686117
Pastures,Arable land,0,45.0,0.08645141745331704,0.00787937150321,0.176731686117
Permanent crops,Agricultural areas,0,61.80339887498949,0.08652002948317598,0.00779590849426,0.177320531237
Permanent crops,Pastures,0,61.80339887498949,0.08654208085562715,0.00752599692342,0.178725217522
Permanent crops,Arable land,0,22.5,0.08654208085562715,0.00752599692342,0.178725217522
Arable land,Forest,0,37.88603912349633,0.08652323034995492,0.00751637686925,0.178726191529
Arable land,Recreation areas,0,45.0,0.08652323034995492,0.00751637686925,0.178726191529
Arable land,Agricultural areas,0,59.985337251282864,0.0865557260956545,0.0074821779484,0.178978425497
Arable land,Pastures,0,64.74508437578865,0.09040442762616455,0.00799501333422,0.186036002394
Arable land,Permanent crops,0,45.0,0.09040442762616455,0.00799501333422,0.186036002394
Natural areas,Forest,0,48.026657375536274,0.09093746637245302,0.00796491505572,0.187519090653
Natural areas,Pastures,0,9.016994374947423,0.09147220813648176,0.00810313846395,0.188164828021
Natural areas,Arable land,0,11.25,0.09147220813648176,0.00810313846395,0.188164828021
Recreation areas,Residential,1,0.75,0.09147220813648176,0.00810313846395,0.188164828021
Agricultural areas,Residential,1,2.6311234992849672,0.091474405682763,0.00806176820886,0.188377173163
Recreation areas,Industry & commerce,1,0.75,0.091474405682763,0.00806176820886,0.188377173163
Residential,Industry & commerce,1,0.75,0.091474405682763,0.00806176820886,0.188377173163
Permanent crops,Industry & commerce,1,11.145618000168241,0.09150451234736179,0.00806502231344,0.188436169301
Fresh water,Recreation areas,1,1.5,0.09150451234736179,0.00806502231344,0.188436169301
Fresh water,Agricultural areas,1,37.38353924943218,0.09131716513166258,0.0079289431157,0.188648197251
Mine & dump sites,Pastures,1,41.951348501388004,0.09167139497738883,0.00804291525747,0.188963911156
Mine & dump sites,Permanent crops,1,39.00966300058885,0.09167160544875252,0.00804291525747,0.188964437335
Recreation areas,Pastures,1,70.31789337587279,0.09973568611302018,0.00967487269391,0.200964851813
Industry & commerce,Recreation areas,1,6.8883707497266045,0.09978617881242546,0.0096663593296,0.201133650383
Residential,Recreation areas,1,4.759747124505786,0.0997460904586385,0.00959460176178,0.201392217338
Agricultural areas,Permanent crops,1,0.75,0.0997460904586385,0.00959460176178,0.201392217338
Pastures,Arable land,1,9.016994374947423,0.09900492031589367,0.0090746113262,0.202139244159
Permanent crops,Agricultural areas,1,0.75,0.09900492031589367,0.0090746113262,0.202139244159
Permanent crops,Pastures,1,3.754747376377488,0.09947403261471996,0.00911354618843,0.203117350595
Permanent crops,Arable land,1,14.589803375031543,0.09866175027115884,0.00869186911694,0.203195030093
Arable land,Pastures,1,2.9416855007991534,0.09952814829087175,0.00887898740603,0.204425433697
Arable land,Permanent crops,1,0.75,0.09952814829087175,0.00887898740603,0.204425433697
Natural areas,Forest,1,1.5,0.09952814829087175,0.00887898740603,0.204425433697
