theta_cp,FK,FKS,CLU
0.0,0.9149413175942587,0.07105098366466177,0.0120815575684
0.0025,0.9149800301035806,0.07090202039710523,0.0120031497618
0.005,0.9152202162697357,0.07163620769907096,0.0119098778255
0.0075000000000000015,0.9153623086800771,0.07122291087093341,0.0117690025064
0.01,0.9155407930925339,0.07134903374331189,0.0116447965083
0.0125,0.9157682748178992,0.07242931396170647,0.0116025128762
0.015000000000000003,0.9159838787336331,0.0721537976748937,0.0114570495427
0.0175,0.9162424593492469,0.07290732182824759,0.0112990103063
0.02,0.9164650450236678,0.07281247329445176,0.0110588978813
0.0225,0.9166820247724826,0.07316773678615508,0.0107701921979
0.025,0.9168701978033158,0.07299714876266977,0.0105225514921
0.027500000000000004,0.9170205022773007,0.07269322286718881,0.0102403675489
0.030000000000000006,0.9172998683213041,0.07265912060172534,0.00985088030072
0.0325,0.9175837311632316,0.07249183856327238,0.0094496966135
0.035,0.9176735745105559,0.07203452139308704,0.00905823894008
0.0375,0.9178920583033232,0.07304726783130647,0.00877036879901
0.04,0.9181143548455306,0.07343383632414553,0.00855680559364
0.0425,0.9183653037287086,0.07293126318993085,0.00810372908469
0.045,0.9185628977749316,0.07350312271409168,0.00790481524074
0.0475,0.9185635468227987,0.07278217366145741,0.00768665729396
0.05,0.918674142644518,0.07242686398317538,0.00747383673905
