theta_st,FK,FKS,CLU
0.0,0.9082127805686382,-0.02976410891166157,0.0289343784417
0.005,0.9101905846744993,-0.014373539658596484,0.0231280618957
0.01,0.9132537928458845,0.012250536377068355,0.0157237007409
0.015000000000000003,0.9157997480940392,0.04128154745594363,0.00913150612965
0.02,0.9168913826813506,0.06116251139167935,0.00817575773404
0.025,0.9170239253508449,0.07047295057216928,0.0082593713955
0.030000000000000006,0.916762526543742,0.07294503092680346,0.0109915003244
0.035,0.9165845590832825,0.07414065122647895,0.0131000144636
0.04,0.9164781166825431,0.07482300421398069,0.0147178372066
0.045,0.9163341395430382,0.0755395146814152,0.0161005010818
0.05,0.9160324702303306,0.07588783936497369,0.0175338448288
0.05500000000000001,0.9155593518967386,0.07638826579159927,0.019046885299
0.06000000000000001,0.9148572197548772,0.07577381729968827,0.0205791355812
0.065,0.9138980799125754,0.07561901342972108,0.0223189421442
0.07,0.9127030915735244,0.07582483769148114,0.0242521143909
0.075,0.9111298975486113,0.07489289682220879,0.026244906999
0.08,0.9094470396904434,0.07410152496518915,0.0282611534138
0.085,0.907609843599346,0.07377047602810605,0.0303054310949
0.09,0.9057074103678641,0.0734407372462541,0.0323001145079
0.095,0.9038575282987973,0.07301926527760891,0.0341962149051
0.1,0.9018445429197017,0.07246889255073023,0.0360417900381
